2.00

SCRIPTFX_INFO_START


#SINGLEPLAYER SCRIPT NAME	PTFX ASSET NAME

Armenian_2_MCS_3_(t4)		cut_armenian2	
Armenian_2_MCS_4			cut_armenian2
ARM_2_MCS_4					cut_armenian2
ARM_2_MCS_4_ALT				cut_armenian2
ARM_2_MCS_4_ALT2			cut_armenian2
arm_2_mcs4_alt2_p2			cut_armenian2
ARM_2_MCS_4_ALT2_P2 		cut_armenian2
#Armenian_2_MCS_4_A_PU
Armenian_2_MCS_5			cut_armenian2
Armenian_2_MCS_6			cut_armenian2	
#Armenian_3_INT(take4)
#Armenian_3_INT(take7)
#Armenian_3_MCS_2p1
#Armenian_3_MCS_2p2B
#Armenian_3_MCS_3
#Armenian_3_MCS_4
#Armenian_3_MCS_5
#Armenian_3_MCS_6
Armenian_3_MCS_7			cut_armenian2
Armenian_3_MCS_8			cut_armenian2
Armenian_3_MCS_9			cut_armenian2


###### BIG SCORE ######

#BS_1_INT_P1
#BS_1_INT_P1B
BS_1_INT_P2					cut_bigscore
#BS_1_INT_P3
#BS_1_INT_P4
#BS_1_INT_P4_P5_BLEND
#BS_1_INT_P5
BS_1_INT_P6					cut_bigscore

#BS_2A_2B_INT_P1
#BS_2A_2B_INT_P2
#BS_2A_2B_INT_P3
#BS_2A_2B_INT_P4
#BS_2A_EXT
#BS_2A_INT
#BS_2A_MCS_1_P1
#BS_2A_MCS_1_P3
#BS_2A_MCS_1_P4
#BS_2A_MCS_1_P5
#BS_2A_MCS_2_P1
#BS_2A_MCS_2_P2
#BS_2A_MCS_3
#BS_2A_MCS_4
#BS_2A_MCS_5
#BS_2A_MCS_6
#BS_2A_MCS_7_P1
#BS_2A_MCS_7_P2
#BS_2A_MCS_8_P1
#BS_2A_MCS_8_P2
#BS_2A_MCS_8_P2B
#BS_2A_MCS_8_P3

#BS_2B_EXT_ALT1_B
#BS_2B_EXT_ALT1A
#BS_2B_EXT_ALT2
#BS_2B_GOONRUN
#BS_2B_INT


###### CAR STEAL ######

#CAR_1_MCS_1
#CAR_1_MCS_2
#CAR_1_MCS_3
CAR_1_MCS_5				cut_carsteal5
car_2_mcs_1				cut_carsteal5
#CAR_2_MCS_1_P1
CAR_2_MCS_1P2			cut_carsteal5
CAR_2_MCS_1_MERGED		cut_carsteal5

#CAR_4_EXT
#CAR_4_MCS_1
#CAR_4_MCS_2
#CAR_5_MCS_1_P1
#CAR_5_MCS_1_P2
#CAR_5_MCS_2A
#CAR_5_MCS_2B
CAR_5_MCS_3				cut_carsteal5	
CAR_1_INT_concat		cut_carsteal1
CAR_1_INT_B				cut_carsteal1
CAR_INT_P1				cut_carsteal1


#CarSteal_3_MCS_1
#CarSteal_3_MCS_2
#CarSteal_3_MCS_3p1
#CarSteal_3_MCS_3p2


###### CHINESE ######

CHI_1_MCS_1				cut_chinese1
CHI_1_MCS_1P1			cut_chinese1
CHI_1_MCS_1_P2			cut_chinese1	
#CHI_1_MCS_1_P3		
chi_1_mcs_4_concat		cut_chinese1
CHI_1_MCS_4				cut_chinese1
chinese_1_int 			cut_chinese1
Chinese_1_INTp1			cut_chinese1
Chinese_1_INTp2			cut_chinese1
Chinese_1_INTp3			cut_chinese1
#Chinese_1_INTp4
Chinese_2_INT 			cut_chinese1
Chinese_2_INTp1			cut_chinese1
Chinese_2_INTp2			cut_chinese1


###### EXILE ######

#EXILE_1_INT_B_5
#Exile_1_INTp1_A
#Exile_1_INTp1_B
Exile_1_INTp2			cut_exile1
Exile_1_INTp3			cut_exile1	
Exile_2_INT				cut_exile2
Exile_2_INTp1			cut_exile2
#Exile_2_INTp2
#EXILE_2_INTp3
#EXILE_3_INT_P1_A
#EXILE_3_INT_P3
#Exile_3_INTp1
#Exile_3_INTp2
EXL_1_MCS_1				cut_exile1	
EXL_1_MCS_1_P1A			cut_exile1	
EXL_1_MCS_1_P1A_P2		cut_exile1
#EXL_1_MCS_1_P3_A
EXL_1_MCS_1_P3_B		cut_exile1
EXL_2_MCS_1				cut_exile2
EXL_2_MCS_3				cut_exile2
EXL_2_MCS_3_P2			cut_exile2
EXL_3_EXT				cut_exile3
EXL_3_MCS_3				cut_exile3


###### FAMILY ######

FAM_1_EXT				cut_family1
FAM_6_INT_P1			cut_family1
FAM_6_INT_P2			cut_family1
#FAM_6_INT_P3(take6)
#FAM_6_INT_P3(take7)
FAM_6_MCS_4				cut_family1
FAM_6_MCS_5				cut_family1
family_1_int 			cut_family1
Family_1_INTp1			cut_family1 
Family_1_INTp1_3		cut_family1	
#Family_1_INTp2
#Family_1_INTp2A
#Family_1_MCS_1

#Family_2_INTpt1_A
#Family_2_INTpt1_A_1
#Family_2_INTpt1_A_2
#Family_2_INTpt1_B
Family_2_INTpt2			cut_family2
#Family_2_MCS_1p1		
#Family_2_MCS_1p2
Family_2_MCS_2			cut_family2
family_2_mcs_3			cut_family2
Family_2_MCS_3p1		cut_family2
#Family_2_MCS_3p2
Family_2_MCS_3p3		cut_family2
#Family_2_MCS_3p4
Family_2_MCS_3p5		cut_family2
Family_2_MCS_4 			cut_family2
Family_2_MCS_4p1		cut_family2
Family_2_MCS_4p2		cut_family2

FAMILY_3_EXT			cut_family3
Family_3_EXTp1			cut_family3	
FAMILY_3_EXT_P1_ALT1_P2	cut_family3
FAM_3_EXT_P1_A1_P2		cut_family3
Family_3_EXTp2			cut_family3		
#Family_3_EXTp3
family_3_int			cut_family3
Family_3_INTp1			cut_family3
#Family_3_INTp1_2
Family_3_INTp1_3		cut_family3
#Family_3_INTp2
#Family_3_INTp2_1
#Family_3_MCS_1
#Family_3_MCS_2

fam_4_int_alt1			cut_family4
FAM_4_INT_p1_ALT1		cut_family4
FAMILY_4_INT_p1_ALT1	cut_family4
family_4_int			cut_family4
Family_4_INTp1			cut_family4
Family_4_INTp2			cut_family4
Family_4_INTp3			cut_family4	
Family_4_INTp4			cut_family4	
#Family_4_MCS_1
#Family_4_MCS_2p1
#Family_4_MCS_2p2
#Family_4_MCS_2p3
#Family_4_MCS_2p4
Family_4_MCS_3			cut_family4	
fam_4_mcs_3_p3 			cut_family4
Family_4_MCS_3_concat	cut_family4	
Family_4_mcs_3_p3		cut_family4

Family_5_INT			cut_family5
Family_5_INTp1_A		cut_family5
#Family_5_INTp1_B
#Family_5_INTp2
#Family_5_MCS_1
#Family_5_MCS_2
family_5_mcs_3			cut_family5
Family_5_MCS_3p1		cut_family5
Family_5_MCS_3p2		cut_family5
#Family_5_MCS_4			
Family_5_MCS_5			cut_family5
FAM_5_MCS_6				cut_family5
Family_5_MCS_6			cut_family5
FAM_5_MCS_6_P4			cut_family5
FAM_5_MCS_6_P3_B		cut_family5
#Family_5_MCS_7p1
#Family_5_MCS_7p2
#Family_5_MCS_7p3(take3)


###### FBI ######

FBI_1_EXT				cut_fbi3
#FBI_1_EXT (take14)
FBI_1_EXT_t9			cut_fbi3
#FBI_1_INT_P1
#FBI_1_INT_P3
#FBI_1_INT_PT5
#FBI_1_INT_PT7
#FBI_1_INT_PT8
#FBI_1_INT_PT9
#FBI_1_MCS_1
FBI_1_MCS_2				cut_fbi3

fbi_2_ext				cut_fbi2
FBI_2_EXT_P1A			cut_fbi2
FBI_2_EXT_P1B			cut_fbi2	
FBI_2_EXT_P2			cut_fbi2
#FBI_2_INTp1
#FBI_2_INTp2
fbi_2_mcs_1				cut_fbi2
FBI_2_MCS_1_P1			cut_fbi2		
FBI_2_MCS_1_P2			cut_fbi2		
FBI_2_MCS_1_P3			cut_fbi2
#FBI_2_MCS_2

FBI_3_INT				cut_fbi3
FBI_3_INTp1_A			cut_fbi3
FBI_3_INTp1_B			cut_fbi3
FBI_3_INTp2				cut_fbi3
FBI_3_INTp3				cut_fbi3	
FBI_3_INTp4				cut_fbi3
#FBI_3_MCS_1
#FBI_3_MCS_2_P1A
#FBI_3_MCS_2p1
#FBI_3_MCS_2p2
#FBI_3_MCS_3
#FBI_3_MCS_4p1
#FBI_3_MCS_4p2
#FBI_3_MCS_5
#FBI_3_MCS_5p2
#FBI_3_MCS_6p1_A
#FBI_3_MCS_6p1_B
#FBI_3_MCS_6p2(take11)
#FBI_3_MCS_7p1
#FBI_3_MCS_7p2
#FBI_3_MCS_8

#FBI_4_INT_P1
#FBI_4_INT_P2
FBI_4_INT_P3			cut_fbi4
#FBI_4_INT_P4
#FBI_4_MCS_2

FBI_5_INT				cut_fbi5a
#FBI_5_INT_P1
#FBI_5_INT_P2
FBI_5_INT_P3			cut_fbi5a
#FBI_5_INT_P4
FBI_5A_MCS_1			cut_fbi5a
FBI_5A_MCS_10_P5		cut_fbi5a
FBI_5A_MCS_10			cut_fbi5a
FBI_5B_MCS_1			cut_fbi5a
FBI_5B_MCS_1_P1			cut_fbi5a
FBI_5B_MCS_1_P2			cut_fbi5a
FBI_5B_MCS_3			cut_fbi5B


###### FINALE ######

#FIN_1C_INT
#FIN_A_EXT_P1
#FIN_A_EXT_P2
#FIN_A_EXT_P3
#FIN_A_EXT_P4
#FIN_A_EXT_P5
#FIN_A_EXT_P6
#FIN_A_EXT_P7
#FIN_A_EXT_P8
fin_a_mcs_1				cut_finale1
fin_a_mcs_1_alt1		cut_finale1
FIN_A_MCS_1_ALT2		cut_finale1
FIN_A_INT				cut_finale1
FIN_B_MCS_1_AandB		cut_finale1
fin_b_mcs_2				cut_finale1
fin_b_mcs_2_p2			cut_finale1
FIN_B_MCS_2_P5			cut_finale1
#FIN_C_INT_P1
#FIN_C_INT_P2
FIN_EXT					cut_finale1
FIN_EXT_P1				cut_finale1
FIN_EXT_P2				cut_finale1
fin_b_ext				cut_finale1
FIN_C2_MCS_4			cut_finale1


###### FRANKLIN ######

#FRA_0_INT_P1
#FRA_0_INT_P2
#FRA_0_MCS_0
FRA_0_MCS_1				cut_franklin0
FRA_0_MCS_2_P1			cut_franklin0
FRA_0_MCS_2_P2_A		cut_franklin0	
#FRA_0_MCS_3_B
FRA_0_MCS_4_P1			cut_franklin0
FRA_0_MCS_4_P2_T3		cut_franklin0
#FRA_0_MCS_5_P1

fra_1_mcs_1				cut_franklin1
#FRA_1_MCS_1_P1
#FRA_1_MCS_1_P2
FRANKLIN_1_MCS_1_P3			cut_franklin1 
FRA_1_MCS_1_P3			cut_franklin1
#FRA_1_MCS_2_P1
FRA_1_MCS_2_P1_B		cut_franklin1
FRA_1_MCS_2_P2A			cut_franklin1

#FRA_2_EXT_P1_T8
#FRA_2_EXT_P2
#FRA_2_EXT_P3
#FRA_2_INT_P1
#FRA_2_INT_P2
#FRA_2_MCS_1
#FRA_2_MCS_2
Franklin_1_INTp1		cut_franklin1
#Franklin_1_INTp2
#Franklin_1_INTp3


###### JEWELRY HEIST ######

#JH_1_INTp1
#JH_1_INTp2
#JH_1_INTp3
#JH_1_INTp4
#JH_1_INTp5
#JH_1_INTp6
#JH_1_MCS_1p1
#JH_1_MCS_1p1B
#JH_1_MCS_1p2
#JH_1_MCS_2
#JH_1_MCS_3p1
#JH_1_MCS_3p1B
#JH_1_MCS_3p2
#JH_1_MCS_4p1
#JH_1_MCS_4p2

JH_2_FIN_A_MCS_4			cut_jewelheist
#JH_2_FIN_B_MCS_3
#JH_2A_INTp1
#JH_2A_INTp4
jh_2a_mcs_1					cut_jewelheist
JH_2A_MCS_1p1				cut_jewelheist
JH_2A_MCS_1p2				cut_jewelheist
JH_2A_MCS_1p3				cut_jewelheist
#JH_2B_INT
#JH_2B_MCS_1p1
#JH_2B_MCS_1p2_(take3)

JH_ENDSCENE_PT1				cut_jewelheist
JH_ENDSCENE_PT2				cut_jewelheist
JH_ENDSCENE_PT3				cut_jewelheist

jh_trv_concat				cut_jh_trev

###### LAMAR ######

lam_1_mcs_1_concat			cut_lamar1
LAM_1_MCS_1					cut_lamar1
#LAM_1_MCS_2
Lamar_1_INT					cut_lamar1
Lamar_1_INTp1				cut_lamar1
#Lamar_1_INTp2_(take10)
#Lamar_1_INTp2_(take7)
#Lamar_1_INTp2_(take8)	

###### LESTER ######

LES_1A_MCS_1				cut_lester1a
#LES_1A_MCS_2
#LES_1A_MCS_3
#LES_1A_MCS_4
#LES_1A_MCS_4_MIC_PICKUP

#LES_1B_MCS_1
#LES_1B_MCS_2_P1
#LES_1B_MCS_2_P2
LES_1B_MCS_2_P2_A1			cut_lester1b	

#Lester_1_INTp1
#Lester_1_INTp2
#Lester_1_INTp3
Lester_1_INTp4				cut_lester1a
#Lester_2_INTp1_(take1)
#Lester_2_INTp1_(take4)


###### LSDH ######

#LSDH_2A_INT_P1
#LSDH_2A_INT_P2
#LSDH_2A_INT_P3

LSDH_2A_EXT			cut_portoflsheist
LSDH_2A_EXT_P0		cut_portoflsheist
lsdh_2a_ext_p1		cut_portoflsheist

LSDH_2A_RF_01		cut_portoflsheist

LSDH_2B_INT			cut_portoflsheist
LSDH_2B_INT_P1		cut_portoflsheist
#LSDH_2B_INT_P2
#LSDH_2B_INT_P3
LSDH_2B_MCS_1		cut_portoflsheist
LSDH_2B_MCS_1_P1 	cut_portoflsheist
LSDH_2B_MCS_1_P2B 	cut_portoflsheist
LSDH_2B_MCS_1_P3 	cut_portoflsheist

#LSDH_INT_P1
#LSDH_INT_P2
#LSDH_INT_P3

#LSDHS_MCS_1_P1
#LSDHS_MCS_1_P2
#LSDHS_MCS_2
#LSDHS_MCS_3_P1
#LSDHS_MCS_3_P2

###### MARTIN1 ######
MARTIN_1_EXT		cut_martin1
MARTIN_1_MCS_1		cut_martin1
MARTIN_1_MCS_1_A	cut_martin1
MARTIN_1_MCS_1_p2	cut_martin1


###### AMB TV ######

melt_int_1_p1_t4		cut_amb_tv
melt_int_5				cut_amb_tv
fos_ep_1_p6				cut_amb_tv
fos_ep_1_p3b			cut_amb_tv

###### MICHAEL ######

#MIC_1_INT_P2
#MIC_1_INT_P3
#MIC_1_INT_P3_B
#MIC_1_INT_P4
#MIC_1_MCS_1_P1
#MIC_1_MCS_1_P2
mic_1_mcs_1			cut_michael1
MIC_1_MCS_2			cut_michael1
MIC_1_MCS_2_P1		cut_michael1
MIC_1_MCS_2_P2		cut_michael1
MIC_1_MCS_2_P3A		cut_michael2
MIC_1_MCS_2_P3B		cut_michael1
MIC_1_MCS_3			cut_michael1

MIC_2_INT			cut_michael2
MIC_2_INT_P1		cut_michael2
MIC_2_INT_P2		cut_michael2
MIC_2_INT_P3		cut_michael2
MIC_2_INT_P4		cut_michael2
MIC_2_INT_P5		cut_michael2
MIC_2_INT_P6		cut_michael2
MIC_2_INT_P6_B		cut_michael2
#MIC_2_MCS_1
#MIC_2_MCS_2
#MIC_2_MCS_3

mic_3_int	 		cut_michael2
#MIC_3_INT_P1
MIC_3_INT_P3		cut_michael2
mic_3_ext			cut_michael1
MIC_3_EXT_T6 		cut_michael1
mic_3_mcs_1_p1_a1	cut_michael2
mic_3_mcs_1_p1_a2	cut_michael2
MIC_3_MCS_1_P1_ALT2 cut_michael2

mic_4_int 			cut_solomon3b
MIC_4_INT_p1 		cut_solomon3b
Mic_4_INT_P2		cut_solomon3b
MIC_4_INT_P3		cut_solomon3b


###### ODD JOBS ######

oscar_mcs_1			cut_armenian1


###### PALETO BAY SCORE ######

rbh_2a_ext1_a1_p1		cut_paletoscore
RBH_2A_EXT_1_P1			cut_paletoscore
RBH_2A_EXT_1			cut_paletoscore
RBH_2A_EXT_1_ALT1_P1	cut_paletoscore
RBH_2A_EXT_1_P2			cut_paletoscore
#RBH_2A_INT_P1 
#RBH_2A_INT_P2
#RBH_2A_MCS_1_P1
RBH_2A_MCS_2			cut_paletoscore
#RBH_2A_MCS_2_P1B
RBH_2A_MCS_2_P3			cut_paletoscore
RBH_2A_MCS_2_P5			cut_paletoscore
RBH_2A_MCS_2_P6			cut_paletoscore
RBH_2A_MCS_2_P7			cut_paletoscore
#RBH_2A_MCS_2_P7A
#RBH_2A_MCS_2_P7B
RBH_2A_MCS_2_PT1		cut_paletoscore
#RBH_2A_MCS_2_PT2
RBH_2A_MCS_2_PT3A		cut_paletoscore
#RBH_2A_MCS_2_PT3B
#RBH_2A_MCS_2_PT4
#RBH_2A_MCS_3_P1
#RBH_2A_MCS_4
#RBH_2A_MCS_5
RBH_2AB_MCS_6			cut_paletoscore
RBH_2AB_MCS_6_P3		cut_paletoscore
#RBH_2B_INT
RBH_2B_MCS_1			cut_paletoscore
RBH_2B_MCS_2			cut_paletoscore
RBH2_HeliCrash			cut_paletoscore
rbhs_int				cut_paletoscore
rbhs_int_p1_t6			cut_paletoscore
rbhs_int_p1_t7			cut_paletoscore
#RBHS_INT_P2
#RBHS_INT_P3
RBHS_MCS_1_PT1			cut_paletoscore
RBHS_MCS_1_PT2			cut_paletoscore
#RBHS_MCS_1_PT3
#RBHS_MCS_2
#RBHS_MSC_3_P1
RBHS_MCS_3				cut_paletoscore
RBHS_MCS_3_2			cut_paletoscore
RBHS_MSC_3_P2			cut_paletoscore
#RBHS_MSC_3_P3
RBHS_MSC_3_P4			cut_paletoscore

###### PROLOGUE ######

PRO_INT					cut_prologue
PRO_INT_P2				cut_prologue
#PRO_MCS_1
#PRO_MCS_2
#PRO_MCS_3_PT1

PRO_MCS_5				cut_prologue
PRO_MCS_5_P1			cut_prologue
PRO_MCS_5_P2			cut_prologue	
PRO_MCS_5_P3			cut_prologue
pro_mcs_6				cut_prologue
PRO_MCS_6_P1			cut_prologue
PRO_MCS_6_P1_B			cut_prologue
PRO_MCS_6_P2			cut_prologue	
PRO_MCS_6_P2_ALT1		cut_prologue
PRO_MCS_6_P2_ALT1_B		cut_prologue
pro_mcs_6_p2_a1_b		cut_prologue
PRO_MCS_7_Concat		cut_prologue
PRO_MCS_7				cut_prologue
PRO_MCS_7_ALT1 			cut_prologue
PRO_MCS_7_ALT2			cut_prologue
PRO_MCS_7_ALT2_P2A 		cut_prologue

###### RCM ######

#AVB_1_RCM_P2
#AVB_2_RCM_P2
#AVB_3_RCM_P2
#AVB_4_RCM
#AVB_5_RCM

BAR_1_RCM_P2		 	cut_rcbarry1
BAR_2_RCM				cut_rcbarry2
BAR_3_RCM				cut_rcbarry1
BAR_4_RCM				cut_rcbarry1
BAR_5_RCM_P2			cut_rcbarry1
#BAR_6_RCM

#EF_1_RCM
#EF_2_RCM
#EF_3_RCM

#EP_1_RCM
#EP_2_RCM
#EP_3_RCM
#EP_4_RCM
#EP_5_RCM
#EP_6_RCM
#EP_6_RCM_P2
#EP_6_RCM_P2_ALT
#EP_7_RCM
EP_8_RCM				cut_rcepsilon

es_1_rcm_concat			cut_extreme
#ES_1_RCM_P1
ES_1_RCM_P2				cut_extreme
#ES_1_RCM_P3
#ES_2_RCM
#ES_3_RCM
ES_4_RCM_P1				cut_extreme
#ES_4_RCM_P2

#Josh_1_INT
#Josh_2_INTp1_(take3)
#Josh_2_INTp1_(take4)
#Josh_2_INTp2
#Josh_3_INTp1
#Josh_3_INTp2
josh_4_int_concat 	cut_josh_4
Josh_4_INT			cut_josh_4
#Josh_Montage_INT

#Magenta_1_INTp1
#Magenta_1_INTp2
#Magenta_1_INTp3
#Magenta_2_INT_A

MMB_1_RCM			cut_minute2
MMB_2_RCM			cut_minute2
#MMB_3_RCM		

MYS_1_RCM_P1		cut_rcdale1	
MYS_1_RCM_P2		cut_rcdale1
#MYS_1_RCM_P3		
MYS_2_RCM			cut_rcdale1

NMT_1_RCM_PT1		cut_rcnigel2
#NMT_1_RCM_PT2
NMT_2_MCS_2			cut_rcnigel2
#NMT_2_RCM_P1
#NMT_2_RCM_P2
#NMT_3_RCM

PAP_1_RCM			cut_rcpaparazzo1
PAP_1_RCM_B			cut_rcpaparazzo1
PAP_2_MCS_1			cut_rcpaparazzo1
PAP_2_RCM_P2		cut_rcpaparazzo1
PAP_3_RCM			cut_rcpaparazzo1
PAP_4_RCM			cut_rcpaparazzo1	

#SAS_1_RCM
#SAS_2_RCM_t5
#SAS_2_RCM_t7

SCRAP_2_RCM			cut_omega2
SCRAP_2_RCM_P1		cut_omega2
SCRAP_2_RCM_P2		cut_omega2
SCRAP_2_RCM_P2_ALT1		cut_omega2
SCRAP_2RCM_P2_ALT1		cut_omega2



###### SHARMOOTA ######

#SH_1_INT
#SH_1B_INT
#SH_1B_MCS_1

#SH_2A_INT_P1
#SH_2A_INT_P2

#SH_2B_INT_P1
#SH_2B_INT_P2

#SH_2C_INT_P1
#SH_2C_INT_P2

